Time_s,Hour,User_ID,Lat,Lon,Demand_Mbps,TN_Eval_BS,TN_Eval_MHz,TN_Reason,NTN_Eval_Beam,NTN_Eval_MHz,NTN_Reason,Final_State
0,0.0,0.0,1,45.2681,-75.6429,0.56,BS_192,19.53,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,2,46.3885,-80.9182,0.17,BS_496,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,3,43.1052,-81.2055,0.38,BS_245,19.88,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,4,43.217,-79.8164,0.83,BS_0,19.57,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,6,46.5222,-81.3133,0.56,None,0.0,No 5G Tower in Geographic Range,Sat_STARLINK-SHELL-2-066-003,299.94,Fully Served,LEO
0,0.0,0.0,7,43.2211,-79.8248,0.11,BS_0,19.73,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,8,43.906,-79.249,0.11,BS_735,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,9,44.1765,-76.4066,0.87,BS_611,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,10,43.6762,-79.5625,0.76,BS_335,19.72,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,12,45.1517,-75.6364,0.32,BS_704,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,13,44.0084,-79.1035,0.81,BS_422,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,14,49.8411,-81.787,0.42,None,0.0,No 5G Tower in Geographic Range,Sat_STARLINK-SHELL-2-051-006,300.0,Fully Served,LEO
0,0.0,0.0,15,46.5466,-80.7623,0.59,BS_395,19.95,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,16,43.7103,-79.2553,0.37,BS_478,19.86,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,17,43.2307,-79.9398,0.65,BS_149,19.8,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,18,45.3277,-75.3733,0.96,BS_663,19.98,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,19,43.7827,-79.4497,0.17,BS_97,17.92,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,20,44.3323,-76.5365,0.31,BS_256,19.88,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,21,43.3963,-79.8921,0.38,BS_111,19.99,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,23,43.8407,-79.2644,0.97,BS_740,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,24,43.4677,-79.7261,0.74,BS_514,19.88,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,25,45.2021,-75.5724,0.1,BS_182,19.89,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,26,46.5313,-80.9682,0.59,BS_302,19.93,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,27,43.668,-79.3028,0.77,BS_481,19.8,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,29,43.177,-79.6698,0.9,BS_316,19.94,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,30,45.4106,-75.5467,0.42,BS_271,19.22,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,31,43.6332,-79.4131,4.25,BS_170,19.86,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,32,44.6918,-76.3221,0.1,BS_73,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,33,44.4831,-76.3578,0.65,BS_86,99.91,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,35,43.1812,-79.916,0.5,BS_145,19.8,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,36,45.3297,-75.576,0.83,BS_180,19.48,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,37,42.9188,-79.8159,3.18,BS_386,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,38,42.9907,-81.3216,0.91,BS_58,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,39,42.9159,-81.3329,0.8,BS_708,19.96,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,40,43.6169,-79.8506,0.18,BS_754,19.99,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,42,43.649,-79.5779,0.94,BS_346,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,43,46.4497,-81.176,0.2,BS_131,19.94,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,44,43.1431,-79.854,0.62,BS_5,19.22,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,45,44.2075,-76.4108,0.75,BS_594,19.88,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,46,43.7721,-79.5211,4.49,BS_657,19.91,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,47,43.8474,-79.643,0.74,BS_647,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,48,43.6962,-79.6365,0.48,BS_334,19.99,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,49,43.4044,-79.7991,0.31,BS_513,19.93,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,50,45.2776,-75.2951,0.96,BS_568,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,51,44.3886,-76.4154,0.79,BS_90,19.8,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,52,44.3994,-76.5021,2.96,BS_75,19.92,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,53,43.1348,-81.4728,3.85,BS_54,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,54,46.6735,-81.1125,0.64,BS_26,19.25,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,55,43.6448,-79.3449,0.78,BS_161,19.99,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,56,42.9056,-81.2752,4.66,BS_717,19.67,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,57,43.124,-79.8453,2.8,BS_1,19.56,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,58,45.2131,-75.7996,0.65,BS_44,19.13,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,59,43.4308,-79.8185,0.78,BS_513,19.89,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,60,43.0607,-81.2428,0.74,BS_246,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,61,44.1462,-76.4334,0.32,BS_604,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,62,42.8268,-81.1437,0.14,BS_203,19.87,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,63,44.3058,-76.4943,0.18,BS_250,19.94,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,64,43.3761,-79.9679,0.62,BS_106,18.4,Fully Served,None,0.0,N/A,TN
