Time_s,Hour,Total_Demand_Mbps,Served_TN_Mbps,Served_NTN_Mbps,Active_NTN_Beams,Dropped_Traffic_Mbps
0,0.0,1132.9,697.0,435.75,109,0.15
3600,1.0,1135.36,687.21,447.99,107,0.15
7200,2.0,1142.89,690.35,452.39,106,0.15
10800,3.0,1163.39,709.94,453.29,108,0.15
14400,4.0,1212.79,735.44,477.18,107,0.16
18000,5.0,1317.95,769.11,548.78,109,0.07
21600,6.0,1514.93,878.22,627.76,108,8.95
25200,7.0,1837.59,1005.34,798.05,109,34.2
28800,8.0,2295.4,1204.21,1025.39,112,65.81
32400,9.0,2848.71,1431.34,1290.78,112,126.59
36000,10.0,3399.83,1650.24,1596.59,113,153.0
39600,11.0,3817.58,1722.04,1859.43,113,236.1
43200,12.0,3995.65,1785.57,1880.16,114,329.92
46800,13.0,3921.19,1704.57,1881.29,114,335.34
50400,14.0,3715.64,1638.56,1723.17,114,353.91
54000,15.0,3614.32,1728.81,1640.44,113,245.07
57600,16.0,3868.97,1732.77,1822.61,113,313.59
61200,17.0,4592.48,1985.61,2165.66,112,441.21
64800,18.0,5624.75,2236.62,2631.11,114,757.02
68400,19.0,6542.56,2313.55,2938.18,113,1290.83
72000,20.0,6872.53,2500.04,3075.3,112,1297.19
75600,21.0,6387.99,2375.68,2832.9,111,1179.41
79200,22.0,5252.71,2094.79,2357.05,111,800.87
82800,23.0,3890.25,1769.45,1777.74,111,343.06
86400,0.0,1132.9,679.32,453.43,106,0.15
