User_ID,Demand_Mbps,H3_Cell
0,0.03,832b83fffffffff
1,0.44,832b9bfffffffff
2,0.19,832b98fffffffff
3,0.4,832ab0fffffffff
4,3.42,832b9dfffffffff
5,0.66,832b9bfffffffff
6,2.97,832b9bfffffffff
7,0.34,832b9bfffffffff
8,0.17,832b81fffffffff
9,0.67,832b9bfffffffff
10,0.46,832b9bfffffffff
11,3.18,832b83fffffffff
12,4.89,832b9dfffffffff
13,4.74,832b9bfffffffff
14,0.11,832b81fffffffff
15,4.22,832b9bfffffffff
16,0.37,832b9bfffffffff
17,0.65,832b83fffffffff
18,0.96,832b81fffffffff
19,0.17,832b9bfffffffff
20,0.31,832ab4fffffffff
21,0.17,832b9bfffffffff
22,0.5,832b9bfffffffff
23,0.43,832ab4fffffffff
24,0.59,832b9dfffffffff
25,0.08,832b9bfffffffff
26,0.08,832b9bfffffffff
27,0.56,832b9bfffffffff
28,3.54,832b9bfffffffff
29,0.18,832b83fffffffff
30,3.82,832b8efffffffff
31,0.99,832b9bfffffffff
32,0.08,832b98fffffffff
33,4.5,832b83fffffffff
34,3.18,832ab5fffffffff
35,0.91,832b9bfffffffff
36,0.8,832b9bfffffffff
37,4.13,832b9bfffffffff
38,0.08,832b81fffffffff
39,0.94,832b9bfffffffff
40,0.35,832b9bfffffffff
41,3.12,832b9bfffffffff
42,0.04,832b9bfffffffff
43,0.57,832769fffffffff
44,0.17,832b83fffffffff
45,0.77,832ab4fffffffff
46,0.55,832b83fffffffff
47,0.37,832b81fffffffff
48,2.75,832ab4fffffffff
49,2.96,832b9dfffffffff
50,3.85,832b9bfffffffff
51,0.64,832b9dfffffffff
52,0.78,832b9bfffffffff
53,4.66,832b9bfffffffff
54,2.8,832b83fffffffff
55,0.7,832b81fffffffff
56,0.07,832ab4fffffffff
57,0.07,832b9bfffffffff
58,0.14,832b9bfffffffff
59,2.69,832b9bfffffffff
60,0.5,832b9bfffffffff
61,0.32,832b83fffffffff
62,0.87,832ab4fffffffff
63,0.76,832ab4fffffffff
64,0.54,832ab4fffffffff
65,0.81,832b9dfffffffff
66,0.76,832b9bfffffffff
67,0.15,832b9bfffffffff
68,2.95,832b9bfffffffff
69,0.77,832ab6fffffffff
70,0.19,832b81fffffffff
71,0.87,832ab4fffffffff
72,0.62,832b9bfffffffff
73,2.18,832ab4fffffffff
74,0.59,832b9bfffffffff
75,0.33,832b9dfffffffff
76,0.71,832b9bfffffffff
77,0.8,832b81fffffffff
78,3.96,832ab4fffffffff
79,3.57,832b93fffffffff
80,0.19,832ab4fffffffff
81,2.63,832b9dfffffffff
82,0.52,832b9bfffffffff
83,2.18,832b9bfffffffff
84,0.18,832b8efffffffff
85,0.08,832ab4fffffffff
86,0.43,832b9bfffffffff
87,0.39,832b9bfffffffff
88,3.94,832b83fffffffff
89,0.42,832ab4fffffffff
90,0.51,832b9bfffffffff
91,0.69,832b9bfffffffff
92,0.08,832b9bfffffffff
93,3.5,832b9bfffffffff
94,4.8,832b9bfffffffff
95,0.15,832b83fffffffff
96,0.96,832b9bfffffffff
97,0.06,832b83fffffffff
98,0.44,832ab4fffffffff
99,4.32,832ab4fffffffff
100,3.6,832b81fffffffff
101,0.73,832ab4fffffffff
102,0.17,832ab4fffffffff
103,0.14,832b83fffffffff
104,0.98,832b81fffffffff
105,0.93,832ab4fffffffff
106,3.72,832ab4fffffffff
107,0.74,832b9dfffffffff
108,0.3,832b83fffffffff
109,3.19,832b83fffffffff
110,4.87,832b9bfffffffff
111,0.1,832b83fffffffff
112,0.12,832b83fffffffff
113,0.61,832b9bfffffffff
114,0.77,832b96fffffffff
115,0.88,832ab4fffffffff
116,0.48,832b9bfffffffff
117,1.0,832b81fffffffff
118,0.16,832b9bfffffffff
119,0.57,832b83fffffffff
120,0.74,832ab4fffffffff
121,0.76,832b9bfffffffff
122,2.97,832ab4fffffffff
123,0.8,832b9bfffffffff
124,3.3,832ab4fffffffff
125,0.37,832b9bfffffffff
126,0.59,832b83fffffffff
127,0.58,832b9bfffffffff
128,0.54,832b9bfffffffff
129,0.63,832b9bfffffffff
130,0.13,832b83fffffffff
131,0.78,832b83fffffffff
132,0.34,832b9bfffffffff
133,0.1,832b9bfffffffff
134,3.73,832b83fffffffff
135,0.93,832b81fffffffff
136,0.35,832b9bfffffffff
137,0.1,832b9bfffffffff
138,0.93,832b9bfffffffff
139,4.49,832b8efffffffff
140,0.96,832b9bfffffffff
141,0.79,832b9bfffffffff
142,0.91,832ab4fffffffff
143,0.09,832b81fffffffff
144,0.49,832ab5fffffffff
145,0.13,832b83fffffffff
146,0.71,832ab4fffffffff
147,0.6,832b9bfffffffff
148,0.73,832b9bfffffffff
149,4.0,832b83fffffffff
150,0.76,832b9dfffffffff
151,4.37,832b83fffffffff
152,0.44,832b9dfffffffff
153,0.47,832b9bfffffffff
154,0.79,832b83fffffffff
155,2.62,832b9bfffffffff
156,4.65,832b9bfffffffff
157,3.68,832b81fffffffff
158,0.4,832b9bfffffffff
159,3.52,832b9bfffffffff
160,0.76,832b9bfffffffff
161,2.98,832b9bfffffffff
162,0.7,832b9bfffffffff
163,0.99,832b81fffffffff
164,2.5,832b9bfffffffff
165,2.51,832b9bfffffffff
166,0.03,832b81fffffffff
167,0.08,832b9dfffffffff
168,0.37,832b9bfffffffff
169,0.91,832b9bfffffffff
170,0.7,832b9bfffffffff
171,0.53,832ab4fffffffff
172,0.46,832b81fffffffff
173,0.45,832ab4fffffffff
174,0.07,832b9bfffffffff
175,3.53,832b98fffffffff
176,0.42,832b9bfffffffff
177,0.19,832b9bfffffffff
178,0.98,832ab4fffffffff
179,4.81,832b83fffffffff
180,0.63,832b83fffffffff
181,0.12,832b83fffffffff
182,0.96,832b9bfffffffff
183,0.48,832b9bfffffffff
184,0.89,832b9bfffffffff
185,0.1,832b9dfffffffff
186,0.77,832b9bfffffffff
187,3.62,832774fffffffff
188,0.3,832b83fffffffff
189,0.17,832b83fffffffff
190,0.31,832b83fffffffff
191,0.12,832b9bfffffffff
192,0.14,832b9bfffffffff
193,2.47,832b9bfffffffff
194,0.91,832ab4fffffffff
195,0.45,832b9bfffffffff
196,0.98,832b83fffffffff
197,0.17,832b83fffffffff
198,0.08,832b83fffffffff
199,0.12,832b9bfffffffff
200,0.46,832b9bfffffffff
201,3.75,832b9bfffffffff
202,0.59,832b9bfffffffff
203,0.61,832ab0fffffffff
204,3.73,832b98fffffffff
205,0.1,832b83fffffffff
206,2.07,832b9bfffffffff
207,0.17,832b83fffffffff
208,0.45,832b83fffffffff
209,0.09,832b9bfffffffff
210,2.15,832b81fffffffff
211,0.42,832b83fffffffff
212,0.63,832b9bfffffffff
213,1.0,832b8efffffffff
214,0.64,832ab4fffffffff
215,0.7,832b9bfffffffff
216,0.3,832b81fffffffff
217,0.83,832ab4fffffffff
218,0.05,832b83fffffffff
219,0.83,832b9bfffffffff
220,0.52,832b9bfffffffff
221,0.11,832ab0fffffffff
222,3.65,832ab4fffffffff
223,0.49,832b9bfffffffff
224,0.61,832b83fffffffff
225,0.62,832b9bfffffffff
226,0.3,832b9bfffffffff
227,3.03,832b9bfffffffff
228,0.47,832b93fffffffff
229,0.05,832ab4fffffffff
230,0.03,832b9bfffffffff
231,0.82,832b9bfffffffff
232,0.09,832b9dfffffffff
233,0.86,832b83fffffffff
234,0.47,832b9bfffffffff
235,0.05,832ab4fffffffff
236,3.71,832b83fffffffff
237,0.45,832b9bfffffffff
238,0.41,832b9bfffffffff
239,0.1,832b9bfffffffff
240,4.0,832b9bfffffffff
241,0.42,832b98fffffffff
242,0.54,832b9bfffffffff
243,0.64,832b9dfffffffff
244,0.74,832b9dfffffffff
245,0.36,832b83fffffffff
246,3.87,832b81fffffffff
247,4.26,832b83fffffffff
248,3.13,832b9bfffffffff
249,0.34,832b83fffffffff
250,0.65,832b9bfffffffff
251,0.34,832ab4fffffffff
252,2.15,832ab4fffffffff
253,0.6,832b9bfffffffff
254,0.95,832ab4fffffffff
255,0.52,832b9bfffffffff
256,0.58,832ab4fffffffff
257,3.84,832b81fffffffff
258,0.58,832b9bfffffffff
259,0.43,832b83fffffffff
260,0.89,832b9bfffffffff
261,0.47,832b83fffffffff
262,0.34,832ab4fffffffff
263,0.66,832b81fffffffff
264,0.19,832b9bfffffffff
265,0.04,832ab4fffffffff
266,2.08,832b83fffffffff
267,0.78,832b83fffffffff
268,0.14,832ab0fffffffff
269,0.36,832ab5fffffffff
270,0.32,832b9bfffffffff
271,0.79,832ab4fffffffff
272,0.14,832b9afffffffff
273,0.19,832b9bfffffffff
274,0.04,832b9bfffffffff
275,3.71,832b9bfffffffff
276,0.8,832b9dfffffffff
277,0.02,832b9bfffffffff
278,3.49,832b9bfffffffff
279,0.72,832b9bfffffffff
280,0.02,832b9dfffffffff
281,0.87,832b9bfffffffff
282,0.55,832b83fffffffff
283,0.09,832b83fffffffff
284,0.45,832b92fffffffff
285,0.05,832b9bfffffffff
286,0.31,832b8efffffffff
287,0.42,832b9bfffffffff
288,2.3,832b9bfffffffff
289,0.87,832b9bfffffffff
290,0.64,832b83fffffffff
291,0.83,832b83fffffffff
292,0.93,832ab4fffffffff
293,0.49,832b9dfffffffff
294,0.41,832ab4fffffffff
295,0.38,832b81fffffffff
296,0.07,832b9bfffffffff
297,2.07,832b83fffffffff
298,0.41,832ab4fffffffff
299,3.94,832b83fffffffff
300,0.73,832b9bfffffffff
301,0.55,832b93fffffffff
302,0.45,832ab4fffffffff
303,0.56,832b81fffffffff
304,0.13,832b9bfffffffff
305,0.47,832b9bfffffffff
306,0.47,832b9dfffffffff
307,0.61,832b92fffffffff
308,0.1,832b81fffffffff
309,0.13,832ab4fffffffff
310,0.95,832ab4fffffffff
311,0.06,832b9dfffffffff
312,0.16,832b98fffffffff
313,0.69,832b83fffffffff
314,0.56,832b9bfffffffff
315,0.49,832b9bfffffffff
316,0.04,832b81fffffffff
317,0.79,832b9bfffffffff
318,0.83,832ab4fffffffff
